Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BHARTIARTL,COALINDIA,DRREDDY,HDFC,HDFCBANK,HEROMOTOCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,KOTAKBANK,LT,M&M,MARUTI,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATAMTRDVR,TATASTEEL,TCS,WIPRO,YESBANK
2008-07-28,104.438377,58.618938,86.910309,202.86615,382.58786,217.327164,586.136658,350.700043,194.576981,555.640076,190.108276,60.382839,54.66618,233.884613,48.276638,141.490677,487.714874,102.693764,574.468018,75.080261,81.698875,455.742493,49.182644,100.813042,60.707745,31.276222,455.671631,338.895905,92.837814,17.219933
2008-07-29,99.346657,58.629158,77.299316,197.523987,374.862976,217.327164,552.819153,332.418701,177.632095,532.109253,195.542328,55.281483,50.767998,234.036545,48.124584,127.603668,455.938568,97.002396,534.103333,72.811188,78.659126,436.103973,45.816639,101.948219,56.606358,31.276222,440.846069,339.820923,91.789314,16.163212
2008-07-30,100.777313,60.973316,84.716362,203.511917,389.831451,217.327164,546.42627,358.988159,188.612183,571.680359,196.447937,57.820896,52.143833,243.565842,47.5924,133.567001,463.585083,99.581627,554.003357,73.430511,81.698875,452.417114,48.093594,103.806519,59.388176,31.276222,475.363464,352.58136,96.291016,16.894278
2008-07-31,102.270172,61.438042,81.506462,207.816986,384.633392,217.327164,531.21405,359.422394,189.086929,588.013062,197.353622,57.77985,51.914524,240.632584,47.5924,130.567215,466.07428,100.948418,540.924927,73.860291,78.908958,461.410278,49.068192,101.959076,57.526455,31.276222,494.150177,352.559967,94.820831,16.914215
2008-08-01,102.17244,61.63467,84.803619,203.218414,394.187225,217.327164,546.193054,379.235016,191.167297,581.509277,193.607498,58.439606,53.611374,249.265152,47.567085,138.417435,482.136902,101.559692,527.375854,73.91993,81.157547,480.976013,52.035347,104.79348,56.863113,31.276222,513.540222,355.397339,98.604553,16.87434
2008-08-04,103.860786,62.765884,88.013519,203.02269,392.815582,217.327164,548.572815,374.593781,191.40036,581.107239,195.571564,58.294441,55.491669,251.65126,47.617718,135.808517,475.716949,100.774666,538.337463,72.785385,81.782166,469.002075,52.340569,104.09935,56.527897,31.276222,521.915161,345.678741,98.194283,17.731682
2008-08-05,104.473923,63.271481,94.844681,207.014679,404.102051,217.327164,551.559143,389.180817,204.469421,605.697571,200.628021,63.099968,59.343987,254.934128,48.187912,143.670486,483.319122,106.272125,578.090576,74.331474,85.238335,476.008392,54.757992,105.155014,58.353878,31.276222,509.994171,351.840118,102.023567,18.44281
2008-08-06,102.492332,63.166786,92.737976,218.951462,418.589325,217.327164,543.813171,378.224792,210.071701,598.609192,205.308334,64.328369,59.986034,258.20166,48.111889,146.915207,494.86908,108.987099,614.221252,75.336098,83.073029,480.160339,52.846931,104.008965,60.871799,31.276222,487.133179,363.527893,103.357002,18.103863
2008-08-07,102.359039,63.327663,93.305176,218.912277,409.179901,217.327164,568.171326,390.980499,216.4422,599.303284,202.299545,64.48304,58.518494,261.621216,48.58075,147.576447,493.847992,111.692772,629.040405,75.87001,82.906464,475.046356,52.860813,104.594658,63.368282,31.276222,484.983337,360.542511,102.228722,18.030752
2008-08-08,103.194336,63.317451,91.603615,215.977005,405.112854,217.327164,583.616882,396.782257,221.017242,600.399536,202.299545,66.339691,59.848457,255.306137,48.327347,156.492569,507.502869,111.35302,639.484436,78.899017,81.698875,470.664398,52.782772,104.124649,63.261307,31.276222,491.32077,356.79483,99.767029,18.389639
